title,company,location,experience,salary,skills,date_posted,company_rating,company_reviews,role_searched,scraped_date,job_url
Data Analyst,Wonderla Holidays,Bengaluru,3-5 Yrs,"50,000-80,000 PA","D2C, Google Data Studio, R, Google Analytics, Power BI, business metrics, Campaign Analytics, Tableau",1 week ago,4.4,403  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-wonderla-holidays-bengaluru-3-to-5-years-230326013931
Data Analyst,Amrita Vishwa Vidyapeetham,Kollam,1-3 Yrs,Not Disclosed,"Automation, Social science, Postgresql, Data collection, Workflow, Data Analyst, Research, Continuous improvement",1 week ago,3.6,225  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-amrita-institute-of-medical-sciences-and-research-kollam-1-to-3-years-170426503457
Looking For immediate joiners - Lab Data Analyst-Python Programming,IQVIA,Hybrid - Kolkata,2-4 Yrs,Not Disclosed,"PYTHON PROGRAMMING, Pyspark, Logical Approach, Python Data Analytics, Python Data, PYTHON SCRIPTING, Numpy, Analytics",1 week ago,3.7,5379  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-looking-for-immediate-joiners-lab-data-analyst-python-programming-iqvia-kolkata-2-to-4-years-051125000118
Data Analyst - 10th April - Virtual Interview - Pan India,Tata Consultancy Services,"India, Bengaluru, Mumbai (All Areas)",7-12 Yrs,Not Disclosed,"Power BI, Tableau, Data Analytics, Analytics, Bi, Data analysis, Data, Interviewing",1 week ago,3.3,116794  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-10th-april-virtual-interview-pan-india-tata-consultancy-services-bengaluru-mumbai-all-areas-india-7-to-12-years-090426005873
Data Analyst,Snapdeal,Gurugram,1-6 Yrs,Not Disclosed,"master data, python, metadata, data analysis, data analytics, data management, configuration, data mining",3+ weeks ago,3.5,673  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-jasper-infotech-pvt-ltd-gurugram-1-to-6-years-221025507695
Data Analyst,MNC,"Pimpri-Chinchwad, Pune",0-2 Yrs,2.75-5 Lacs PA,"Google Sheets, Power BI, MS Office, Data Analytics, Python, Large Databases, Google Data Studio, data vis",1 day ago,N/A,N/A,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-tele-infotech-pimpri-chinchwad-pune-0-to-2-years-090726033951
Data Analyst,Optum,Hybrid - Bengaluru,3-5 Yrs,15-20 Lacs PA,"Data Analytics, Customer Journey Analytics, Adobe Analytics, Adobe, Data analysis, Analytics, Data",1 week ago,4.0,8169  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-optum-bengaluru-3-to-5-years-010726014591
Data Analyst,MNC Group,Gurugram,0-1 Yrs,6-7 Lacs PA,"Artificial Intelligence, Advanced Excel, Python, VBA, Macros, SQL, Data analysis, Excel",1 day ago,N/A,N/A,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-persol-gurugram-0-to-1-years-150526031938
Data Analyst,Tecnoprism,"Hyderabad, Bengaluru",8-13 Yrs,Not Disclosed,"QGIS, Looker, PLX, SQL, Python, Street View, Business Analyst, Lat-Long datasets",2 days ago,N/A,N/A,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-tecnoprism-hyderabad-bengaluru-8-to-13-years-080726009729
Climate Data Analyst,MSCI Services,Pune,0-4 Yrs,Not Disclosed,"data operations, data analysis, data analytics, workflow, data research, pivot table, data integrity, research",1 day ago,3.6,390  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-climate-data-analyst-msci-services-pvt-ltd-pune-0-to-4-years-090726505446
Data Analyst,eClerx,Bengaluru,2-5 Yrs,Not Disclosed,"Automation, Power BI, Data Analytics, SQL, Python, Data Analysis, Tableau, Analytics",1 week ago,3.1,6489  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-eclerx-bengaluru-2-to-5-years-030726018761
Data Analyst,Client of Spring HR,"Mumbai, Navi Mumbai, Mumbai (All Areas)",10-15 Yrs,20-25 Lacs PA,"Solar, Data Analytics, Python, Market Intelligence, Power, SQL, Data analysis, Analytics",1 day ago,N/A,N/A,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-spring-hr-services-mumbai-navi-mumbai-mumbai-all-areas-10-to-15-years-080726023362
Data Analyst,Iris Worldwide,"Mumbai, Navi Mumbai",2-4 Yrs,Not Disclosed,"database maintenance, python, macros, data analysis, data analytics, predictive analytics, power bi, dashboards",1 day ago,3.3,16  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-iris-business-services-mumbai-navi-mumbai-2-to-4-years-080726501850
Data Analyst- SCM,Manufacturing Company,Bahadurgarh,5-8 Yrs,15-22.5 Lacs PA,"Power BI, Data Analysis, Advanced Excel, Supply Chain, SQL, Data Management, Demand Planning, Distribution Planning",5 days ago,N/A,N/A,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-scm-abs-groups-bahadurgarh-5-to-8-years-040726013297
Data Analyst,Triveni Interchem,Vapi,0-2 Yrs,2.25-3.25 Lacs PA,"Power BI, Data Visualization, Excel Sheet, Data Analytics, SQL, Pivot Table, Tableau, Data analysis",3 days ago,4.5,59  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-triveni-interchem-pvt-ltd-vapi-0-to-2-years-070726008729
Walk-in || Data Analyst,Everest Fleet,N/A,N/A,3-4.5 Lacs PA,"Power BI, BI, Data Visualization, Data Analytics, SQL, BI Tools, Data Analysis, Tableau",1 day ago,3.0,281  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-everest-fleet-kolkata-3-to-5-years-270626006517
Data Analyst,Idemia Group,Noida,0-6 Yrs,Not Disclosed,"Biometrics, Analyst, Data analysis, Prototype, Technology leadership, Data Analyst, Cryptography, Signalling",1 day ago,3.8,892  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-idemia-group-noida-0-to-6-years-080726500658
Data Analyst - Power Transformer,Hitachi Energy,Vadodara,2-7 Yrs,Not Disclosed,"Data analysis, Due diligence, SAP, HP data protector, Data analytics, data privacy, Business intelligence, Business case",1 day ago,4.0,1092  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-power-transformer-hitachi-energy-vadodara-2-to-7-years-080726502758
Data Analyst,Kantar,Hyderabad,0-4 Yrs,Not Disclosed,"Sql, Etl Tool, Power Bi, Data Mining, Machine Learning, Data Science, R, S",1 week ago,3.4,85  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-kantar-imrb-hyderabad-0-to-4-years-020726915353
Data Analyst,Adani Group,Ahmedabad,2-4 Yrs,Not Disclosed,"Data Analysis, Power BI, KPI, Power Automate, Data Visualization, Advanced Excel, Data Analytics, Reporting",6 days ago,3.8,2560  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-adani-group-ahmedabad-2-to-4-years-030726022431
Data Analyst,Barclays,Gurugram,1-8 Yrs,Not Disclosed,"Analyst, Administration, RCA, Coding, Analytical, Machine learning, Agile, Operations",1 day ago,3.8,1168  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-barclays-shared-services-gurugram-1-to-8-years-080726503510
Data Analyst,Ecolab Global Services,Pune,1-4 Yrs,Not Disclosed,"Data Analysis, Sales Analysis, Data Validation, Economics, Business Intelligence, Insights, Use Cases, Bi",1 day ago,3.4,246  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-ecolab-global-services-private-limited-pune-1-to-4-years-080726933542
Data Analyst,Anarock Property Consultants,Mumbai(Bandra Kurla Complex),2-3 Yrs,10-14 Lacs PA,"Data Analytics, ETL, Power Bi, Data Analysis, Statistical Modeling, Machine Learning, Python, SQL",2 weeks ago,3.5,686  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-anarock-property-consultants-mumbai-2-to-3-years-250626044715
Data Analyst,Financial Service,Hybrid - Hyderabad,5-10 Yrs,Not Disclosed,"O2C, SAP, Order To Cash, Data Analytics, CRM, Genesys, Data quality, siebel",2 weeks ago,N/A,N/A,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-purview-services-hyderabad-5-to-10-years-250626945097
Data Analyst,Financial Service,Hybrid - Pune,5-10 Yrs,Not Disclosed,"O2C, SAP, Order To Cash, Data Analytics, CRM, Genesys, Data quality, siebel",2 weeks ago,N/A,N/A,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-purview-services-pune-5-to-10-years-250626945098
