title,company,location,experience,salary,skills,date_posted,company_rating,company_reviews,role_searched,scraped_date,job_url
Data Analyst,MNC,"Pimpri-Chinchwad, Pune",0-2 Yrs,2-5 Lacs PA,"Power Bi, SQL, Data Analytics, Large Databases, Google Data Studio, Data Management, Data Cleansing, Tableau",1 day ago,,,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-tele-infotech-pimpri-chinchwad-pune-0-to-2-years-050626000099
Data Analyst,Hire Techly Solutions,"Hybrid - Hyderabad, Pune, Bengaluru",0-2 Yrs,3.75-6.5 Lacs PA,"Data Analytics, Power Bi, Artificial Intelligence, Data Analysis, Statistical Modeling, Data Visualization, Machine Learning, Statistics",Just now,,,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-hire-techly-solutions-hyderabad-pune-bengaluru-0-to-2-years-060626007090
Data Analyst,ABB,Bengaluru,2-4 Yrs,Not Disclosed,"Data Analyst, Business Intelligence, Automation, Data Engineering, Power Bi, Finance, Programming, Data Collection",1 day ago,4.0,3437  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-abb-india-limited-bengaluru-2-to-4-years-050626924288
Data Analyst,City Montessori School (CMS),Lucknow,0-3 Yrs,Not Disclosed,"Power Bi, Data Analyst, Tableau, Excel, Python, GOOGLE LOOKER, Artificial Intelligence, SQL",6 days ago,3.5,217  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-city-montessori-school-cms-lucknow-0-to-3-years-300526014475
Data Analyst,Philips,Bengaluru,0-2 Yrs,Not Disclosed,"Computer science, Automation, Data modeling, Analytical, Agile, Healthcare, Workflow, Data quality",1 day ago,3.8,1945  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-philips-india-limited-bengaluru-0-to-2-years-040626503163
Data Analyst,ABB Ltd,Bengaluru,0-2 Yrs,Not Disclosed,"Supply chain, SAP, Talent acquisition, Data modeling, Business analytics, Analytical, Life sciences, Business intelligence",1 day ago,4.0,3437  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-abb-ltd-bengaluru-0-to-2-years-050626501693
Data Analyst,Acciojob,"Chennai, Bengaluru",0-2 Yrs,4-9 Lacs PA,"Data Analytics, Power Bi, Statistics, Python, SQL, Data analysis, Analytics, Data",1 week ago,3.5,115  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-acciojob-chennai-bengaluru-0-to-2-years-260526033652
Salesforce Data Analyst,Luxoft,Pune,3-7 Yrs,Not Disclosed,"data analyst, data analytics, data analysis, sla, sla tracking, data migration, subject matter expert, financial services",1 day ago,3.6,841  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-salesforce-data-analyst-luxoft-india-llp-pune-3-to-7-years-050626924308
Data Analyst,Ascendion Engineering,Hybrid - Mumbai,2-7 Yrs,Not Disclosed,"Data Mining, Data Analytics, MS Office Suite, Cognos, Tableau, Data analysis, Office, Microsoft",1 day ago,,,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-ascendion-engineering-mumbai-2-to-7-years-050626009935
Walk-in || Data Analyst,A Private Sector Bank,,,Not Disclosed,"Kafka, Spark, Data Analytics, Data Analysis, Analytics, Analysis, Data",Just now,,,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-vrinda-global-hyderabad-4-to-6-years-060626006682
Data Analyst,DCB Bank,Hyderabad(Begumpet),4-9 Yrs,13-17 Lacs PA,"Kafka, Spark, ETL, Data Analytics, Python, Data analysis, Analytics, Data",Few hours ago,,,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-kmz-services-hyderabad-4-to-9-years-060626003825
Data Analyst,Acciojob,"Noida, Hyderabad, Pune",0-2 Yrs,4-9 Lacs PA,"Power Bi, Data Analytics, SQL, Data Analysis, Data Visualization, Machine Learning, Python, Machine",1 week ago,3.5,115  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-acciojob-noida-hyderabad-pune-0-to-2-years-260526033072
Data Analyst,Innova Solutions,"Hybrid - Hyderabad, Bengaluru, Greater Noida",7-12 Yrs,Not Disclosed,"Banking Analytics, Data Analytics, Python, SQL, Segmentation, Data Analysis, Data, Analytics",2 days ago,3.3,1189  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-innova-solutions-hyderabad-bengaluru-greater-noida-7-to-12-years-280426010915
Data Analyst,Ample Softech System,"Nagpur, Pune",0-3 Yrs,"50,000-2.5 Lacs PA","Power Bi, Data Visualization, Data Analytics, Data Management, Tableau, SQL, Data analysis, Analytics",1 week ago,4.7,51  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-ample-softech-system-nagpur-pune-0-to-3-years-270426007790
Online Data Analyst - Kannada,TELUS Digital,Remote,0-2 Yrs,Not Disclosed,"Data Analysis, Mapping, Online Data Analysis, quality assurance, AI models, machine learning, Assurance, Quality",4 days ago,3.5,1939  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-online-data-analyst-kannada-telus-digital-bengaluru-0-to-2-years-040325916691
Data Analyst,Bima Kavach,Bengaluru,1-3 Yrs,Not Disclosed,"database maintenance, python, data analysis, data analytics, predictive analytics, problem solving, machine learning, dashboards",2 days ago,4.3,22  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-bimakavach-bengaluru-1-to-3-years-030626501531
Data Analyst,Nineleaps,Bengaluru,2-4 Yrs,Not Disclosed,"Automation, Product engineering, Analytical, Data Analyst, Data analytics, Business intelligence, Analytics, SQL",1 week ago,4.2,233  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-nineleaps-bengaluru-2-to-4-years-290526505346
Data Analyst,Wipro,Hybrid - Bengaluru,2-4 Yrs,5-12 Lacs PA,"Finance, Tableau Reporting, Tableau, Data, Reporting, Data analysis",1 day ago,3.6,65653  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-wipro-bengaluru-2-to-4-years-050626012251
Data Analyst (With Python),Coforge,Noida,2-4 Yrs,Not Disclosed,"Power Bi, AWS, SQL, Healthcare Domain, python, Tableau, ETL, Data Analytics",5 days ago,3.3,7865  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-with-python-coforge-noida-2-to-4-years-010626001754
Data Analyst,MNC,"Pimpri-Chinchwad, Pune",0-2 Yrs,2.75-5 Lacs PA,"Google Sheets, Power Bi, MS Office, SQL, Data Analytics, Large Databases, Google Data Studio, data vis",3 days ago,,,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-tele-infotech-pimpri-chinchwad-pune-0-to-2-years-020626028320
Data Analyst,Themathcompany,Bengaluru,5-7 Yrs,Not Disclosed,"python, confluence, analytical, saps, software testing, documentation, power bi, microsoft azure",1 day ago,3.1,511  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-themathcompany-bengaluru-5-to-7-years-050626010717
Data Analyst - Service Now,Virtusa,"Hybrid - Hyderabad, Chennai, Bengaluru",8-12 Yrs,Not Disclosed,"Data Model, Data Analyst, Service now, Data analysis, Data modeling, Servicenow, Data",1 day ago,3.7,6175  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-service-now-virtusa-hyderabad-chennai-bengaluru-8-to-12-years-050626006353
Data Analyst,Lloyds Technology Centre India,Hyderabad,8-15 Yrs,Not Disclosed,"Customer Advisor, Change management, Data management, Management systems, IT security, Strategic planning, Support services, Data Analyst",1 week ago,3.5,264  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-lloyds-technology-centre-india-hyderabad-8-to-15-years-260526503203
Data Analyst,Edgemed Healthcare,Mumbai,1-4 Yrs,Not Disclosed,"database maintenance, python, data analysis, data analytics, sas, predictive analytics, problem solving, process improvement",2 days ago,,,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-edgemed-healthcare-mumbai-1-to-4-years-030626501583
Data Analyst,CES LTD,Hybrid - Hyderabad,3-6 Yrs,Not Disclosed,"Data Visualization, Tableau, Data Analytics, SQL, Data analysis, Analytics, Data",3 days ago,3.3,419  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-ces-ltd-hyderabad-3-to-6-years-030626018814
Data Analyst,Capgemini,"Hybrid - Chennai, Delhi / NCR, Mumbai (All Areas)",4-9 Yrs,Not Disclosed,"Power Bi, Data Analysis, Data Visualization, Tableau, Data Analytics, SQL, Analytics, Analysis",2 weeks ago,3.6,53966  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-capgemini-chennai-delhi-ncr-mumbai-all-areas-4-to-9-years-021225014173
Data Analyst,Nestle,Gurugram,1-3 Yrs,Not Disclosed,"Mis Analysis, Data Analysis, Advanced Excel, Data, MIS, Excel, Analysis",2 days ago,3.7,2791  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-nestle-gurugram-1-to-3-years-040626018696
Data Analyst,TMF Group,"Hybrid - Pune, Bengaluru, Delhi / NCR",4-9 Yrs,Not Disclosed,"Excel, Advanced Excel, Financial Analysis, Power Bi, Data Analysis, Data Analytics, Data, Analytics",1 week ago,3.8,364  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-tmf-group-pune-bengaluru-delhi-ncr-4-to-9-years-140526020663
Data Analyst,LKQ India,Bengaluru,3-6 Yrs,Not Disclosed,"Power Bi, Advanced Excel, Financial Analytics, Stock Valuation, Data Analytics, Data Wrangling, Data Cleansing, Tableau",1 week ago,3.3,448  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-lkq-india-bengaluru-3-to-6-years-290526012009
Data Analyst,Aaheli Consultants,"Hybrid - Gurugram, Bengaluru",5-8 Yrs,Not Disclosed,"Power Bi, Microsoft Power Bi, Data Cleansing, Power Query, SQL, Dax Queries, Azure Data Factory, Data Analysis",1 day ago,,,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-aaheli-consultants-gurugram-bengaluru-5-to-8-years-040626029060
Data Analyst,Financial Service,Hybrid - Bengaluru,5-10 Yrs,Not Disclosed,"O2C, SAP, Order To Cash, Data Analytics, CRM, Genesys, Data quality, siebel",1 week ago,,,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-purview-services-bengaluru-5-to-10-years-280526928136
Salesforce Data Analyst,Luxoft,"Pune, Bengaluru",8-10 Yrs,15-25 Lacs PA,"Salesforce Data Analyst, nCino, KYC, Data analysis, Salesforce, Data",2 days ago,3.6,841  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-salesforce-data-analyst-luxoft-pune-bengaluru-8-to-10-years-040626011844
Data Analyst,Kiya.ai,"Hybrid - Bengaluru, Mumbai (All Areas)",3-7 Yrs,5-11 Lacs PA,"Power Bi, Data Analysis, Tableau, SQL, Capital Market, Investment Banking, Risk Assessment, Risk",1 day ago,3.9,637  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-kiya-ai-bengaluru-mumbai-all-areas-3-to-7-years-200326006395
Data Analyst,Indium Software,"Hybrid - Hyderabad, Bengaluru",2-5 Yrs,Not Disclosed,"Google Sheets, Problem Solving, Advance Sql, Tableau, Python, Google Data Studio, Power Bi, ETL",2 days ago,3.9,1366  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-indium-software-hyderabad-bengaluru-2-to-5-years-070526025179
Data Analyst,Kawen Manpower,Bengaluru,1-4 Yrs,Not Disclosed,"Procurement, Data analysis, VLOOKUP, Analytical, Business intelligence, Macros, Operations, Internship",1 day ago,,,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-kawen-manpower-bengaluru-1-to-4-years-050626502645
Data Analyst,Coforge,Noida,2-4 Yrs,Not Disclosed,"Power Bi, AWS, SQL, Healthcare Domain, python, Tableau, ETL, Data Analytics",1 week ago,3.3,7865  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-coforge-noida-2-to-4-years-160526000014
Data Analyst Mechanical/Instrumentation,Idexcel,"Bengaluru, Vadodara",4-7 Yrs,Not Disclosed,"Drawings, CMMS, plant maintenance, P&IDs, ERP, data management, Datasheets, Vendor Documents",2 days ago,,,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-mechanical-instrumentation-idexcel-bengaluru-vadodara-4-to-7-years-010426010667
Data Analyst,MNC,"Pimpri-Chinchwad, Pune",0-2 Yrs,2.75-5 Lacs PA,"Google Sheets, Power Bi, MS Office, SQL, Data Analytics, Large Databases, Google Data Studio, data vis",1 week ago,,,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-tele-infotech-pimpri-chinchwad-pune-0-to-2-years-280526000048
Data Analyst,Sisco Jobs,Thrissur,0-1 Yrs,Not Disclosed,"IT services, QA, Basic, Data analysis, Manager Quality Assurance, Analytical, Data collection, Data processing",2 days ago,4.2,6  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-sisco-jobs-thrissur-0-to-1-years-030626504229
Data Analyst,Shiprocket,Gurugram,0-1 Yrs,Not Disclosed,"excel, python, Power Bi, Data Analysis, Workflow Automation, Automation, Workflow, Analysis",3 days ago,3.4,428  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-shiprocket-gurugram-0-to-1-years-020626021293
Data Analyst,bp,Hybrid - Pune,3-6 Yrs,13-16 Lacs PA,"Power Bi, Data Visualization, Data Analytics, SQL, Data analysis, Analytics, Data, Bi",1 week ago,3.7,730  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-bp-pune-3-to-6-years-290526024827
DATA - ANALYST,Justlead.in,Gurugram,1-4 Yrs,Not Disclosed,"python, data analysis, data analytics, strong analytical skills, pivot table, business analysis, vlookup, machine learning",1 week ago,,,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-justlead-solutions-private-limited-gurugram-1-to-4-years-280526502040
DATA - ANALYST,Justlead.in,Chandigarh,1-4 Yrs,Not Disclosed,"python, data analysis, data analytics, strong analytical skills, pivot table, business analysis, vlookup, machine learning",1 week ago,,,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-justlead-solutions-private-limited-chandigarh-1-to-4-years-280526502039
DATA - ANALYST,Justlead.in,Noida,1-4 Yrs,Not Disclosed,"python, data analysis, data analytics, strong analytical skills, pivot table, business analysis, vlookup, machine learning",1 week ago,,,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-justlead-solutions-private-limited-noida-1-to-4-years-280526502038
Data Analyst,Unity Small Finance Bank,Navi Mumbai,2-5 Yrs,Not Disclosed,"Lending, Portfolio, Funnel Analysis, Data Analytics, Power Bi, Data Visualization, cohort, SQL",1 week ago,3.6,1088  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-unity-small-finance-bank-navi-mumbai-2-to-5-years-280526016350
Data Analyst,IBS Software Services,Kochi,2-3 Yrs,Not Disclosed,"python, data analysis, data analytics, data management, data mining, power bi, pivot table, business analysis",1 week ago,3.5,848  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-ibs-software-kochi-2-to-3-years-260526501947
